time_years,pH,gems_code,rate_Qtz_mol_s,Ca/Si in CSH
93.0,13.129215181984375,2,2.27492306794468e-10,1.6027921977382344
94.0,13.128312395539323,2,2.2726946714698233e-10,1.6028497332883027
95.0,13.127412534510214,2,2.2704740615165994e-10,1.602906955459887
96.0,13.12651557918949,2,2.2682611917682864e-10,1.6029638669578292
97.0,13.125621515696364,2,2.2660560074545646e-10,1.6030204703546491
98.0,13.124730325397865,2,2.2638584649647233e-10,1.6030767682745386
99.0,13.123841990884737,2,2.2616685118242722e-10,1.603132763295757
100.0,13.122956497294277,2,2.2594860981829568e-10,1.6031884578779192
101.0,13.122073821448243,2,2.257311178731872e-10,1.6032438547971326
102.0,13.121193955897493,2,2.255143694222094e-10,1.603298956160596
103.0,13.120316876260105,2,2.2529836124980254e-10,1.6033537647358183
104.0,13.119442569101363,2,2.2508308723745873e-10,1.6034082828484673
105.0,13.118571018141099,2,2.2486854319363777e-10,1.6034625129098972
106.0,13.117702207390563,2,2.246547244466605e-10,1.6035164572931124
107.0,13.116836120707712,2,2.2444162639482946e-10,1.6035701183448028
108.0,13.115972742386822,2,2.2422924442495134e-10,1.603623498401421
109.0,13.115112056678578,2,2.240175740217249e-10,1.6036765997550353
110.0,13.114254048093652,2,2.2380661067825488e-10,1.6037294246869267
111.0,13.113398698263962,2,2.235963499524125e-10,1.603781975721694
112.0,13.112546001363599,2,2.2338678692875264e-10,1.6038342541833304
113.0,13.111695929076388,2,2.2317791885001387e-10,1.6038862634992928
114.0,13.110848480230615,2,2.2296973909978062e-10,1.603938004622599
115.0,13.110003629451878,2,2.2276224585164322e-10,1.6039894806092294
116.0,13.109161361995739,2,2.2255543296321326e-10,1.6040406937039327
117.0,13.108321673633865,2,2.223492962557853e-10,1.6040916447468712
118.0,13.107484539510931,2,2.2214383332836276e-10,1.6041423370859433
119.0,13.106649944958729,2,2.2193903827857066e-10,1.604192772794754
120.0,13.105817884095007,2,2.2173490692507875e-10,1.6042429530139983
121.0,13.104988337597804,2,2.2153143672409802e-10,1.6042928802161611
122.0,13.104161291562656,2,2.2132862267849357e-10,1.604342556478767
123.0,13.103336733123998,2,2.211264608485287e-10,1.6043919835934484
124.0,13.102514649868374,2,2.209249474483082e-10,1.6044411633057545
125.0,13.101695023882213,2,2.207240788209585e-10,1.604490098196931
126.0,13.100877844954564,2,2.2052385027400623e-10,1.6045387897207994
127.0,13.100063095775196,2,2.2032425862928164e-10,1.604587240387644
128.0,13.099250768319191,2,2.2012529935701048e-10,1.60463545112344
129.0,13.098440847019749,2,2.199269695855254e-10,1.6046834242088754
130.0,13.09763331883542,2,2.197292651672789e-10,1.6047311614726147
131.0,13.09682817082443,2,2.1953218239640656e-10,1.6047786646985873
132.0,13.096025389452137,2,2.193357175967749e-10,1.604825935831316
133.0,13.095224963698863,2,2.191398670097782e-10,1.6048729762631475
