time_years,Ca,Si,Al,Mg,S,C
1331.7595436702536,0.16960301657790056,3.8996216685080336,0.29876247832932545,7.503979738318828e-05,6.224468264385878,0.20682158393118777
1336.0771391069559,0.16923610423066313,3.9228027487604966,0.2939261400806784,7.656356366799353e-05,6.273626947662752,0.20727527887815364
1340.4379104980255,0.1688727475262897,3.94616939304124,0.2891321863455122,7.812882173898549e-05,6.323433230008061,0.20772636898675123
1344.8422896030058,0.16851317782818068,3.969720159042682,0.2843814635520404,7.973673004976544e-05,6.3738946426537995,0.20817479206467857
1349.2907124990359,0.1681575508150312,3.993453269600221,0.27967479747235585,8.138845827560848e-05,6.425014568312383,0.20862041286961625
1353.7836196240262,0.1678058273004492,4.017366428089835,0.2750129742367008,8.308517206190588e-05,6.476786352608675,0.20906290709226466
1358.3214558202665,0.16745837602409427,4.0414577721991884,0.27039685246339906,8.482809922379855e-05,6.529222620913774,0.2095023364420019
1362.904670378469,0.16711531233606042,4.065724795259246,0.2658272352034775,8.661845410430116e-05,6.582323056858236,0.20993852171655683
1367.5337170822538,0.1667767967291969,4.090164818984587,0.2613049275864217,8.845746893658863e-05,6.636088898363773,0.2103713254006908
1372.2090542530764,0.16644297234804745,4.114774881926255,0.25683072590225736,9.034638446780668e-05,6.6905198633996275,0.21080059158421827
1376.931144795607,0.1661139132294411,4.139551668016285,0.25240540519525556,9.228644092516783e-05,6.745611455794243,0.21122610097492586
1381.7004562435632,0.16579003673737286,4.1644920380303585,0.24802979043332193,9.427892553620813e-05,6.8013755807242,0.211647957673876
1386.5174608059988,0.16547137233086637,4.189592027081482,0.24370463117088903,9.63250806576854e-05,6.8578040290933835,0.21206590018895133
1391.3826354140585,0.1651581177135129,4.214847587408434,0.23943069520725369,9.842616724881996e-05,6.914896145197785,0.21247982736534718
1396.2964617681994,0.16485045442395266,4.240254219366291,0.23520876687284173,0.0001005834246410372,6.97264961317987,0.21288963419955187
1401.2594263858814,0.16454855940708246,4.265807383109158,0.23103952782782405,0.00010279812294522879,7.031061005667784,0.21329518550684604
1406.2720206497402,0.1642525198186624,4.291501840858565,0.22692370921788546,0.00010507147214172792,7.090121268075972,0.2136962893710813
1411.3347408562374,0.1639624504038225,4.31733210470327,0.22286201216942084,0.0001074046757571694,7.149821764198613,0.21409277498367624
1416.4480882648,0.16367875997851047,4.343292475953884,0.21885519610241053,0.00010979893327903228,7.210167976026559,0.21448476204439332
1421.6125691474479,0.16340147971325747,4.369376632955304,0.21490390756491745,0.00011225538533915322,7.2711448996913335,0.2148720074053744
1426.8286948389225,0.16313076121567838,4.395577927541756,0.21100880600105273,0.00011477514296071569,7.332742558450366,0.21525439123121456
1432.0969817873117,0.16286678850256542,4.4218892959992075,0.20717054267952986,0.00011735927295055376,7.394951517523521,0.21563183114409643
1437.417951605185,0.16260969471740083,4.448303218249663,0.20338973730747026,0.00012000878507443362,7.457758473470596,0.2160042027814785
1442.7921311212367,0.16235964695966948,4.474811732620089,0.1996669984081522,0.00012272462857925055,7.5211506661790954,0.21637142230192785
1448.2200524324492,0.16211677298583055,4.5014064040852375,0.19600290413648225,0.00012550767933148613,7.5851119695681115,0.2167333768606598
1453.7022529567737,0.16188109730132472,4.528078322350309,0.19239798437890074,0.00012835872605238243,7.649619367637589,0.217089864915446
1459.2392754863415,0.16165301816309946,4.554818095793706,0.18885284163111715,0.00013127848861314227,7.714668598258911,0.21744105123674934
1464.8316682412049,0.16143248679355332,4.581615814329072,0.18536794183425842,0.00013426755874432078,7.780230009734318,0.21778668561435327
1470.479984923617,0.16121964336293065,4.608461071380782,0.1819437719702363,0.00013732642684231703,7.846282675122391,0.21812671018799118
1476.184784772853,0.16101459020972786,4.635342942273291,0.17858078444966427,0.0001404554565562203,7.912802203190882,0.21846104398485766
1481.9466326205816,0.16081745188178156,4.662249960263715,0.17527941242556114,0.00014365487470723585,7.979764020413507,0.21878964036774992
1487.7660989467875,0.16062820799728242,4.6891701926657054,0.17204002227921075,0.00014692475409556913,8.047134046733131,0.21911233151372092
1493.6437599362553,0.16044705260703465,4.716091085834046,0.16886300566332757,0.00015026501388981723,8.114888639273135,0.21942916592813372
1499.5801975356178,0.1602741253033246,4.742999576096107,0.16574870576415543,0.00015367539948530303,8.182999731922799,0.21974015719682455
1505.5759995109743,0.16010921488401533,4.769882218657939,0.16269735571767835,0.00015715544707764394,8.251418164800782,0.22004500763377532
1511.6317595060839,0.15995262008156422,4.796724816276445,0.15970927166971208,0.00016070452123429795,8.320121958910592,0.22034391403213902
1517.7480771011449,0.15980418363856028,4.823512829261444,0.15678463963532463,0.00016432174041689163,8.389062030213854,0.22063666570529727
1523.925557872156,0.16225993928308063,4.4765810789326554,0.2010978013040824,0.00012193904743663395,7.541468801358482,0.217246331109061
1530.1648134508778,0.16224734662478923,4.477329809476561,0.20113325015796055,0.00012193681714847469,7.544732187659893,0.2173310146861859
1536.4664615853865,0.16223078104906902,4.478155200212639,0.20116683046584222,0.00012193369427940708,7.548004142455048,0.21741154416001077
1542.8311262012403,0.16221748683636936,4.478916821486905,0.20120407148795114,0.00012192863669990637,7.551320427296391,0.2174986973086967
1549.2594374632529,0.1622028332425527,4.4797458850157605,0.20124272395939014,0.00012192783264137115,7.554649827865479,0.21758590518941073
1555.7520318378852,0.16218774137568964,4.48052963105025,0.20127664829871386,0.00012192386563735843,7.558061348781464,0.21767074242851223
1562.309552156264,0.1621729424584386,4.481348597443139,0.20131375388105807,0.00012192300009489548,7.561470940993291,0.21775876004931738
1568.9326476778265,0.16215740593772068,4.4821809180117205,0.2013508710563913,0.00012192105258800078,7.56491990956775,0.2178483012088652
1575.621974154605,0.16214229638159372,4.483004780699142,0.20138872413360218,0.00012191652825767186,7.56841389024214,0.2179376308245183
1582.378193896151,0.1621268955698292,4.483851499718844,0.2014267900266502,0.00012191501705150935,7.5719382907510795,0.2180284652464299
1589.2019758351123,0.1621114505621711,4.4846985615433335,0.20146531693251182,0.00012191169650831158,7.575503214212579,0.2181198771359502
1596.0939955934637,0.16209520245358464,4.4855680157960505,0.20150413303975778,0.00012190938808267717,7.579099881107375,0.21821219320818927
1603.0549355493981,0.16207957041358823,4.486423797428867,0.20154394032458134,0.00012198783037758056,7.582731727088367,0.21830557211640803
1610.0854849048922,0.16206377086617155,4.487304414008885,0.2015830817686066,0.00012190150461866902,7.586415252224133,0.21840089474664937
1617.186339753941,0.16204770762240037,4.488188809791439,0.20162307510628416,0.00012190057018391215,7.590131294708421,0.21849621727136834
1624.3582031514802,0.16210578952504584,4.488842312533252,0.20166265834855857,0.00012190531004714014,7.600062164985554,0.21883717260714378
1631.6017851829952,0.16201503668216324,4.489981624686798,0.20170445674264842,0.00012189305999567529,7.597679407017802,0.21868993988631114
