time_years,quartz,CSH,ettringite,thaumasite,monosulphate,monocarbonate,hydrotalcite,Kuzel_s,Friedel_s,straetlingite,calcite,MSH,gypsum,portlandite,zeolites,hydrogarnet,ferrihydrite,Al(OH)3(mic)
702.0,528.4580986167255,281.41624110522565,0.0,38.544701049470504,0.0,0.0,10.060523891864893,0.0,0.0,0.0,63.00182477684666,0.0,0.0,0.0,23.43740224567806,0.0,5.626186324384105,1.0083054139789861e-05
703.0,528.3869252234788,281.52042786860676,0.0,38.54449816362188,0.0,0.0,10.060523891724436,0.0,0.0,0.0,63.00184619837248,0.0,0.0,0.0,23.437777601008925,0.0,5.626186324995014,9.623924156771936e-06
704.0,528.3158136346113,281.624547520841,0.0,38.54429495412591,0.0,0.0,10.060523891583186,0.0,0.0,0.0,63.001867656549166,0.0,0.0,0.0,23.438152507555113,0.0,5.626186325603975,8.239087003908054e-06
705.0,528.2447638122277,281.7286022994188,0.0,38.544091441593004,0.0,0.0,10.060523891441129,0.0,0.0,0.0,63.001889149168086,0.0,0.0,0.0,23.438522923575437,0.0,5.626186326211305,7.619144458559126e-06
706.0,528.1737757183095,281.83259113826796,0.0,38.54388761134329,0.0,0.0,10.060523891298256,0.0,0.0,0.0,63.001910677806116,0.0,0.0,0.0,23.438890357353493,0.0,5.62618632681682,7.148595365875338e-06
707.0,528.1028493153391,281.9365142437002,0.0,38.54368345755946,0.0,0.0,10.060523891154558,0.0,0.0,0.0,63.00193224286911,0.0,0.0,0.0,23.439254625781743,0.0,5.626186327419024,6.919186719822879e-06
708.0,528.0319845659765,282.0403702755715,0.0,38.54347897761447,0.0,0.0,10.060523891010057,0.0,0.0,0.0,63.001953845226154,0.0,0.0,0.0,23.439616741852316,0.0,5.6261863280217455,6.509463077179655e-06
709.0,527.9611814330892,282.14415973419807,0.0,38.543274172083166,0.0,0.0,10.060523890864737,0.0,0.0,0.0,63.001975484468566,0.0,0.0,0.0,23.439976236927436,0.0,5.626186328622622,6.13078435608366e-06
710.0,527.8904398796717,282.2478824193125,0.0,38.543069039775126,0.0,0.0,10.06052389071859,0.0,0.0,0.0,63.00199716076493,0.0,0.0,0.0,23.44033314789901,0.0,5.626186329221899,5.777889544129187e-06
711.0,527.8197598689252,282.35153798193033,0.0,38.54286358121039,0.0,0.0,10.060523890571622,0.0,0.0,0.0,63.00201887419773,0.0,0.0,0.0,23.44068763523323,0.0,5.626186329820251,5.391440622825674e-06
712.0,527.7491413642148,282.45512688404256,0.0,38.54265779013645,0.0,0.0,10.06052389042381,0.0,0.0,0.0,63.00204062499296,0.0,0.0,0.0,23.44103934668416,0.0,5.626186330415432,5.138336464373714e-06
713.0,527.6785843292033,282.5586483096652,0.0,38.54245165866328,0.0,0.0,10.06052389027516,0.0,0.0,0.0,63.00206241439462,0.0,0.0,0.0,23.441388782012933,0.0,5.626186331009354,4.813484595621849e-06
714.0,527.6080887278899,282.66210248390513,0.0,38.54224520662171,0.0,0.0,10.060523890125683,0.0,0.0,0.0,63.002084240241594,0.0,0.0,0.0,23.44173553438684,0.0,5.626186331602055,4.5950066765091245e-06
715.0,527.5376545240529,282.7654892303558,0.0,38.542038417144774,0.0,0.0,10.060523889975359,0.0,0.0,0.0,63.002106104341316,0.0,0.0,0.0,23.442079680169623,0.0,5.626186332193244,4.46302820959139e-06
716.0,527.4672816819416,282.8688015679063,0.0,38.541831299927516,0.0,0.0,10.060523889824193,0.0,0.0,0.0,63.002128005542204,0.0,0.0,0.0,23.442431812031163,0.0,5.626186332782664,0.0
717.0,527.3969701658326,282.9720530221582,0.0,38.54162384297526,0.0,0.0,10.060523889672174,0.0,0.0,0.0,63.00214994515776,0.0,0.0,0.0,23.44277092126603,0.0,5.626186333370408,0.0
718.0,527.3267199405944,283.0752364604138,0.0,38.541416042734255,0.0,0.0,10.060523889519303,0.0,0.0,0.0,63.00217192371702,0.0,0.0,0.0,23.443107699670126,0.0,5.626186333956718,0.0
719.0,527.2565309710774,283.17835184009,0.0,38.54120791824025,0.0,0.0,10.060523889365577,0.0,0.0,0.0,63.00219393903694,0.0,0.0,0.0,23.443442172475375,0.0,5.626186334541518,0.0
